standard_event	dataset_label	standard_action	standard_activity	dataset
road_vehicle	truck/brakes	brakes_squeaking		MAVDtraffic
road_vehicle	truck/compressor			MAVDtraffic
road_vehicle	truck/engine_accelerating	engine_accelerating		MAVDtraffic
road_vehicle	truck/engine_idling			MAVDtraffic
road_vehicle	truck/wheel_rolling	wheel_rolling		MAVDtraffic
road_vehicle	truck/wheel_rolling	vehicle_passing_by		MAVDtraffic
road_vehicle	Vehicle horn, car horn, honking	vehicle_horn		AudioSet
road_vehicle	Vehicle horn, car horn, honking	car_horn		AudioSet
road_vehicle	Vehicle horn, car horn, honking, toot	vehicle_horn		AudioSet_strong
road_vehicle	Vehicle horn, car horn, honking, toot	car_horn		AudioSet_strong
road_vehicle	vehicle horn, car horn, honking	vehicle_horn		VGGSound
road_vehicle	vehicle horn, car horn, honking	car_horn		VGGSound
road_vehicle	Vehicle_horn_and_car_horn_and_honking	vehicle_horn		Fsd50k
road_vehicle	Vehicle_horn_and_car_horn_and_honking	car_horn		Fsd50k
road_vehicle	cleaning_truck			NoisenseDb
				
emergency_vehicle	Emergency vehicle			AudioSet_strong
emergency_vehicle	Emergency vehicle			AudioSet
emergency_vehicle	Ambulance (siren)	siren_ringing		AudioSet_strong
emergency_vehicle	Ambulance (siren)	siren_ringing		AudioSet
emergency_vehicle	Ambulance (siren)	vehicle_siren_ringing		AudioSet_strong
emergency_vehicle	Ambulance (siren)	vehicle_siren_ringing		AudioSet
emergency_vehicle	Ambulance (siren)	ambulance_siren_ringing		AudioSet_strong
emergency_vehicle	Ambulance (siren)	ambulance_siren_ringing		AudioSet
emergency_vehicle	ambulance siren	ambulance_siren_ringing		VGGSound
emergency_vehicle	ambulance siren	siren_ringing		VGGSound
emergency_vehicle	ambulance siren	vehicle_siren_ringing		VGGSound
emergency_vehicle	Police car (siren)	siren_ringing		AudioSet_strong
emergency_vehicle	Police car (siren)	siren_ringing		AudioSet
emergency_vehicle	Police car (siren)	vehicle_siren_ringing		AudioSet_strong
emergency_vehicle	Police car (siren)	vehicle_siren_ringing		AudioSet
emergency_vehicle	Police car (siren)	police_car_siren_ringing		AudioSet_strong
emergency_vehicle	Police car (siren)	police_car_siren_ringing		AudioSet
emergency_vehicle	police car (siren)	siren_ringing		VGGSound
emergency_vehicle	police car (siren)	vehicle_siren_ringing		VGGSound
emergency_vehicle	police car (siren)	police_car_siren_ringing		VGGSound
emergency_vehicle	Fire engine, fire truck (siren)	siren_ringing		AudioSet_strong
emergency_vehicle	Fire engine, fire truck (siren)	siren_ringing		AudioSet
emergency_vehicle	Fire engine, fire truck (siren)	vehicle_siren_ringing		AudioSet_strong
emergency_vehicle	Fire engine, fire truck (siren)	vehicle_siren_ringing		AudioSet
